"","Country","Year","Nuts2","not_stated","sometimes","total","never","usually","somet_usual"
"286","DE",2021,"DEC0",27.366,471.83,360.655,NA,62.49,534.32
"287","DE",2021,"DE80",41.367,764.543,648.324,NA,74.852,839.395
"288","DE",2021,"DEB1",47.129,731.003,580.899,NA,102.588,833.591
"289","DE",2021,"DEE0",36.518,995.366,882.136,NA,75.58,1070.946
"290","DE",2021,"DEB2",NA,269.326,219.473,NA,34.605,303.931
"291","DE",2021,"DE25",96.634,915.837,644.601,NA,174.267,1090.104
"292","DE",2021,"DE23",47.837,597.331,452.042,NA,96.246,693.577
"293","DE",2021,"DE13",87.605,1181.621,935.616,NA,157.496,1339.117
"294","DE",2021,"DE24",49.445,537.245,409.181,NA,78.155,615.4
"295","DE",2021,"DE92",81.073,1063.327,801.03,NA,181.224,1244.551
"296","DE",2021,"DEB3",72.141,1037.835,773.964,NA,191.427,1229.262
"297","DE",2021,"DEA5",113.219,1679.388,1331.497,NA,234.672,1914.06
"298","DE",2021,"DE30",197.947,1829.89,1141.716,NA,489.863,2319.753
"299","DE",2021,"DE73",39.055,598.165,475.26,NA,83.851,682.016
"300","DE",2021,"DE72",38.378,509.944,392.72,NA,78.846,588.79
"301","DE",2021,"DE94",76.896,1272.376,1035.02,NA,160.459,1432.835
"302","DE",2021,"DE71",172.941,1972.437,1333.619,NA,465.534,2437.971
"303","DE",2021,"DEF0",104.72,1460.053,1096.535,NA,250.043,1710.096
"304","DE",2021,"DEA4",53.808,991.816,785.348,NA,152.429,1144.245
"305","DE",2021,"DEA1",189.981,2435.653,1777.934,NA,467.739,2903.392
"306","DE",2021,"DEA3",85.953,1292.562,995.558,NA,211.051,1503.613
"307","DE",2021,"DEG0",56.768,1009.778,857.351,NA,94.927,1104.705
"308","DE",2021,"DED5",46.888,510.053,396.421,NA,66.744,576.797
"309","DE",2021,"DED2",53.354,745.748,609.584,NA,82.81,828.558
"310","EE",2021,"EE00",73.271,654.228,484.211,NA,96.618,750.846
"311","IE",2021,"IE06",93.243,1231.145,661.969,NA,471.589,1702.734
"312","IE",2021,"IE04",27.213,425.028,289.035,NA,105.944,530.972
"313","IE",2021,"IE05",58.363,778.258,513.069,NA,201.457,979.715
"314","EL",2021,"EL53",NA,78.848,75.228,NA,NA,NA
"315","EL",2021,"EL65",8.097,197.813,180.391,NA,8.836,206.649
"316","EL",2021,"EL41",NA,64.045,59.131,NA,NA,NA
"317","EL",2021,"EL63",7.072,256.155,240.806,NA,7.723,263.878
"318","EL",2021,"EL51",10.303,193.33,175.531,NA,7.496,200.826
"319","EL",2021,"EL30",205.935,1569.923,1222.231,4.43,137.327,1707.25
"320","EL",2021,"EL54",4.701,105.65,88.417,9.502,NA,NA
"321","EL",2021,"EL43",18.535,191.111,166.543,NA,6.034,197.145
"322","EL",2021,"EL64",NA,202.243,192.014,NA,7.383,209.626
"323","EL",2021,"EL61",9.438,267.757,248.465,NA,9.117,276.874
"324","EL",2021,"EL52",33.04,608.213,525.42,NA,48.878,657.091
"325","EL",2021,"EL62",NA,59.348,56.529,NA,NA,NA
"326","EL",2021,"EL42",16.5,133.545,101.326,NA,15.719,149.264
"327","ES",2021,"ES22",12.192,285.875,252.899,NA,18.848,304.723
"328","ES",2021,"ES30",238.81,3145.191,2374.743,21.727,512.529,3657.72
"329","ES",2021,"ES23",5.21,142.481,128.01,NA,9.209,151.69
"330","ES",2021,"ES12",20.985,391.468,335.245,NA,33.66,425.128
"331","ES",2021,"ES41",56.072,976.247,848.075,7.346,64.478,1040.725
"332","ES",2021,"ES43",21.554,394.608,344.425,2.652,25.599,420.207
"333","ES",2021,"ES21",42.344,946.839,847.471,11.334,44.616,991.455
"334","ES",2021,"ES53",26.479,538.004,466.625,NA,43.183,581.187
"335","ES",2021,"ES64",NA,30.343,26.198,NA,2.617,32.96
"336","ES",2021,"ES13",10.494,244.983,217.646,2.12,14.72,259.703
"337","ES",2021,"ES24",38.669,588.623,507.485,4.999,37.97,626.593
"338","ES",2021,"ES42",37.654,847.551,745.353,5.767,59.412,906.963
"339","ES",2021,"ES51",226.571,3490.096,2802.723,29.961,427.864,3917.96
"340","ES",2021,"ES61",162.613,3152.475,2719.954,19.981,248.84,3401.315
"341","ES",2021,"ES70",41.143,829.826,713.752,12.219,62.209,892.035
"342","ES",2021,"ES62",33.152,639.274,560.585,9.61,35.36,674.634
"343","ES",2021,"ES63",NA,24.185,21.821,NA,NA,NA
"344","ES",2021,"ES11",72.282,1087.097,936.814,3.239,75.231,1162.328
"345","ES",2021,"ES52",117.607,2076.749,1793.642,18.574,147.522,2224.271
"346","FR",2021,"FRC2",87.789,487.295,347.837,NA,49.906,537.201
"347","FR",2021,"FRD1",93.471,588.039,421.822,NA,71.495,659.534
"348","FR",2021,"FRF1",145.783,833.203,554.609,NA,129.513,962.716
"349","FR",2021,"FRE2",105.013,753.273,550.362,NA,90.988,844.261
"350","FR",2021,"FRJ1",201.78,1096.844,690.693,NA,196.429,1293.273
