"","YEAR","COREG_2DW","Never_all","Never_incountry","Total_all","Never_cross"
"359",2011,"CH06",285.275,285.275,410.371,0
"360",2011,"CH07",116.397,116.397,153.121,0
"361",2011,"CY00",391.181,391.181,398.214,0
"362",2011,"CZ01",677.425,669.531,765.672,7.89400000000001
"363",2011,"CZ02",486.217,486.217,527.66,0
"364",2011,"CZ03",533.109,533.109,568.097,0
"365",2011,"CZ04",465.501,462.985,493.949,2.51600000000002
"366",2011,"CZ05",608.504,608.504,672.395,0
"367",2011,"CZ06",696.714,694.451,756.764,2.26300000000003
"368",2011,"CZ07",500.641,496.899,543.182,3.74200000000002
"369",2011,"CZ08",510.753,505.857,538.049,4.89600000000002
"370",2011,"DE00",177.13,99.066,179.517,78.064
"371",2011,"DE11",1865.031,1865.031,2139.819,0
"372",2011,"DE12",1070.623,1070.623,1188.108,0
"373",2011,"DE13",981.665,981.665,1130.969,0
"374",2011,"DE14",718.889,718.889,848.524,0
"375",2011,"DE21",1865.472,1856.825,2281.739,8.64699999999993
"376",2011,"DE22",501.712,496.572,501.712,5.13999999999999
"377",2011,"DE23",553.831,552.719,553.831,1.11199999999997
"378",2011,"DE24",441.648,440.342,492.098,1.30599999999998
"379",2011,"DE25",770.678,770.678,847.737,0
"380",2011,"DE26",520.459,520.459,520.459,0
"381",2011,"DE27",784.129,784.129,838.063,0
"382",2011,"DE30",1433.229,1425.904,1713.703,7.32500000000005
"383",2011,"DE40",884.733,884.733,940.299,0
"384",2011,"DE50",334.227,334.227,334.227,0
"385",2011,"DE60",984.629,984.629,1091.139,0
"386",2011,"DE71",1688.609,1688.609,1971.274,0
"387",2011,"DE72",419.056,419.056,419.056,0
"388",2011,"DE73",517.826,517.826,577.198,0
"389",2011,"DE80",629.447,629.447,629.447,0
"390",2011,"DE91",647.393,647.393,647.393,0
"391",2011,"DE92",988.188,988.188,1058.325,0
"392",2011,"DE93",557.654,557.654,610.912,0
"393",2011,"DE94",923.518,923.518,1049.111,0
"394",2011,"DEA1",2246.413,2246.413,2518.701,0
"395",2011,"DEA2",1715.916,1715.916,1940.49,0
"396",2011,"DEA3",975.287,975.287,1115.792,0
"397",2011,"DEA4",815.355,815.355,881.772,0
"398",2011,"DEA5",1424.557,1424.557,1539.472,0
"399",2011,"DEB1",570.282,570.282,570.282,0
"400",2011,"DEB2",218.333,218.333,218.333,0
"401",2011,"DEB3",715.427,715.427,768.335,0
"402",2011,"DEC0",414.669,414.669,414.669,0
"403",2011,"DED2",712.821,712.821,712.821,0
"404",2011,"DED4",655.776,655.776,655.776,0
"405",2011,"DED5",399.788,399.788,399.788,0
"406",2011,"DEE0",905.199,905.199,965.464,0
"407",2011,"DEF0",1037.282,1037.282,1133.399,0
"408",2011,"DEG0",876.313,876.313,942.876,0
"409",2011,"DK00",14.26,0,19.726,14.26
"410",2011,"DK01",586.568,586.568,913.258,0
"411",2011,"DK02",232.401,232.401,321.97,0
"412",2011,"DK03",405.712,405.712,556.621,0
"413",2011,"DK04",428.673,428.673,598.425,0
"414",2011,"DK05",194.524,194.524,259.208,0
"415",2011,"EE00",512.126,512.126,581.979,0
"416",2011,"EL00",6.962,0,6.962,6.962
"417",2011,"EL30",1469.83,1469.83,1538.849,0
"418",2011,"EL41",64.511,64.511,66.039,0
"419",2011,"EL42",125.22,125.22,131.686,0
"420",2011,"EL43",237.236,237.236,248.862,0
"421",2011,"EL51",189.95,189.95,206.145,0
"422",2011,"EL52",627.678,627.678,650.25,0
"423",2011,"EL53",87.395,87.395,89.593,0
"424",2011,"EL54",115.552,115.552,119.578,0
"425",2011,"EL61",263.746,263.746,267.126,0
"426",2011,"EL62",78.457,78.457,81.03,0
"427",2011,"EL63",231.534,231.534,238.164,0
"428",2011,"EL64",188.669,188.669,197.835,0
"429",2011,"EL65",210.033,210.033,214.768,0
"430",2011,"ES11",1004.844,1004.844,1068.406,0
"431",2011,"ES12",372.749,372.749,399.53,0
"432",2011,"ES13",211.389,211.389,225.45,0
"433",2011,"ES21",902.41,902.41,963.096,0
"434",2011,"ES22",264.782,264.782,279.297,0
"435",2011,"ES23",128.721,128.721,135.987,0
"436",2011,"ES24",500.7,500.7,546.489,0
"437",2011,"ES30",2705.96,2705.96,2937.525,0
"438",2011,"ES41",911.431,911.431,971.856,0
"439",2011,"ES42",663.848,663.848,713.656,0
"440",2011,"ES43",341.344,341.344,368.867,0
"441",2011,"ES51",3020.788,3020.788,3213.915,0
"442",2011,"ES52",1719.732,1719.732,1851.688,0
"443",2011,"ES53",450.194,450.194,469.354,0
"444",2011,"ES61",2553.677,2553.677,2757.51,0
"445",2011,"ES62",499.855,499.855,541.286,0
"446",2011,"ES63",24.333,24.333,24.333,0
"447",2011,"ES64",26.278,26.278,26.278,0
"448",2011,"ES70",728.026,728.026,764.866,0
"449",2011,"FI00",7.033,0,7.033,7.033
"450",2011,"FI19",466.749,466.749,595.685,0
"451",2011,"FI1B",608.263,608.263,815.241,0
"452",2011,"FI1C",389.455,389.455,491.702,0
"453",2011,"FI1D",431.259,431.259,539.672,0
"454",2011,"FI20",12.212,12.212,14.58,0
"455",2011,"FR00",252.775,232.003,322.592,20.772
"456",2011,"FR10",4147.43,4147.43,5404.694,0
"457",2011,"FR21",425.899,425.899,522.858,0
"458",2011,"FR22",545.224,545.224,642.857,0
"459",2011,"FR23",566.494,566.494,684.181,0
"460",2011,"FR24",816.188,816.188,975.728,0
"461",2011,"FR25",442.044,442.044,546.119,0
"462",2011,"FR26",522.907,522.907,637.499,0
"463",2011,"FR30",1180.179,1180.179,1475.094,0
"464",2011,"FR41",689.389,689.389,846.931,0
"465",2011,"FR42",619.808,619.808,756.474,0
"466",2011,"FR43",355.159,355.159,434.348,0
"467",2011,"FR51",1180.81,1180.81,1454.297,0
"468",2011,"FR52",1027.002,1027.002,1262.911,0
"469",2011,"FR53",587.096,587.096,717.365,0
"470",2011,"FR61",1022.981,1022.981,1301.531,0
"471",2011,"FR62",904.801,904.801,1172.429,0
"472",2011,"FR63",223.03,223.03,261.915,0
"473",2011,"FR71",1997.888,1997.888,2497.657,0
"474",2011,"FR72",403.384,403.384,541.429,0
"475",2011,"FR81",754.617,754.617,928.15,0
"476",2011,"FR82",1524.693,1524.693,1881.253,0
"477",2011,"FR83",81.886,81.886,81.886,0
"478",2011,"HR03",461.012,461.012,488.299,0
"479",2011,"HR04",1075.279,1074.578,1106.099,0.701000000000022
"480",2011,"HU10",1116.261,1116.261,1272.181,0
"481",2011,"HU21",387.138,379.201,412.811,7.93700000000001
"482",2011,"HU22",366.917,366.917,392.943,0
"483",2011,"HU23",272.42,272.42,312.179,0
"484",2011,"HU31",332.831,332.831,358.449,0
"485",2011,"HU32",464.456,464.456,490.388,0
"486",2011,"HU33",441.135,441.135,466.633,0
"487",2011,"IE00",56.832,56.832,81.803,0
"488",2011,"IE01",362.796,362.796,418.47,0
"489",2011,"IE02",1167.833,1167.833,1365.953,0
"490",2011,"IS00",100.184,100.184,150.368,0
"491",2011,"ITC1",1732.368,1732.368,1813.693,0
"492",2011,"ITC2",60.383,60.383,60.383,0
"493",2011,"ITC3",598.545,598.545,627.845,0
"494",2011,"ITC4",3955.385,3955.385,4160.779,0
"495",2011,"ITF1",474.432,474.432,495.35,0
"496",2011,"ITF2",100.875,100.875,103.282,0
"497",2011,"ITF3",1461.197,1461.197,1518.029,0
"498",2011,"ITF4",1169.008,1169.008,1211.385,0
"499",2011,"ITF5",177.419,177.419,183.22,0
"500",2011,"ITF6",536.271,536.271,555.733,0
"501",2011,"ITG1",1372.986,1372.986,1414.815,0
"502",2011,"ITG2",565.435,565.435,587.353,0
"503",2011,"ITH1",228.359,228.359,240.631,0
"504",2011,"ITH2",217.912,217.912,229.589,0
"505",2011,"ITH3",1997.408,1997.408,2076.128,0
"506",2011,"ITH4",489.911,489.911,512.206,0
"507",2011,"ITH5",1863.16,1863.16,1952.836,0
"508",2011,"ITI1",1470.822,1470.822,1542.407,0
"509",2011,"ITI2",327.966,327.966,344.25,0
"510",2011,"ITI3",611.181,611.181,630.947,0
"511",2011,"ITI4",2116.787,2116.787,2228.353,0
"512",2011,"LT00",1188.458,1188.458,1250.069,0
"513",2011,"LU00",248.658,168.857,300.659,79.801
"514",2011,"LV00",826.304,826.304,852.814,0
"515",2011,"MT00",158.997,158.997,164.683,0
"516",2011,"NL00",43.246,0,51.175,43.246
"517",2011,"NL11",262.387,262.387,294.105,0
"518",2011,"NL12",261.452,261.452,294.328,0
"519",2011,"NL13",191.555,191.555,216.5,0
"520",2011,"NL21",450.325,450.325,512.96,0
"521",2011,"NL22",873.498,873.498,984.075,0
"522",2011,"NL23",145.29,145.29,165.345,0
"523",2011,"NL31",562.988,562.988,652.635,0
"524",2011,"NL32",1275.051,1275.051,1451.321,0
"525",2011,"NL33",1487.515,1487.515,1679.639,0
